Team,Group,Total value in million euros,Round of 16,1986,1990,1994,1998,2002,2006,2010,2014,R2,QF,4th,3rd,2nd,1st,Past Group Stage,Qualifying Percentage
Uruguay,A,367.5,Y,R2,R2,x,x,R1,x,4th,R2,3,0,1,0,0,0,4,50%
Russia,A,161.83,Y,R2,R1,R1,x,R1,x,x,R1,1,0,0,0,0,0,1,13%
Saudi Arabia,A,18.7,N,x,x,R2,R1,R1,R1,x,x,1,0,0,0,0,0,1,13%
Egypt,A,196.88,N,x,R1,x,x,x,x,x,x,0,0,0,0,0,0,0,0%
Spain,B,1040,Y,QF,R2,QF,R1,QF,R2,1st,R1,2,3,0,0,0,1,6,75%
Portugal,B,465.5,Y,R2,x,x,x,R1,4th,R2,R1,2,0,1,0,0,0,3,38%
Morocco,B,122.75,N,R2,x,R1,R1,x,x,x,x,1,0,0,0,0,0,1,13%
Iran,B,43.05,N,,x,x,R1,x,R1,x,R1,0,0,0,0,0,0,0,0%
France,C,1080,Y,3rd,x,x,1st,R1,2nd,R1,QF,0,1,0,1,1,1,4,50%
Denmark,C,262.05,Y,R2,x,x,QF,R2,x,R1,x,2,1,0,0,0,0,3,38%
Australia,C,49.55,N,x,x,x,x,x,R2,R1,R1,1,0,0,0,0,0,1,13%
Peru,C,37.5,N,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0%
Argentina,D,708,Y,1st,2nd,R2,QF,R1,QF,QF,2nd,1,3,0,0,2,1,7,88%
Nigeria,D,133,Y,x,x,R2,R2,R1,x,R1,R2,3,0,0,0,0,0,3,38%
Croatia,D,354.5,N,,,x,3rd,R1,R1,x,R1,0,0,0,1,0,0,1,17%
Iceland,D,76.4,N,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0%
Brazil,E,952,Y,QF,R2,1st,2nd,1st,QF,QF,4th,1,3,1,0,1,2,8,100%
Switzerland,E,217.6,Y,x,x,R2,x,x,R2,R1,R2,3,0,0,0,0,0,3,38%
Serbia,E,241.45,N,x,QF,,R2,x,R1,R1,x,1,1,0,0,0,0,2,29%
Costa Rica,E,42.08,N,x,R2,x,x,R1,R1,x,QF,1,1,0,0,0,0,2,25%
Germany,F,884,Y,2nd,1st,QF,QF,2nd,3rd,3rd,1st,0,2,0,2,2,2,8,100%
Mexico,F,145.1,Y,QF,,R2,R2,R2,R2,R2,R2,6,1,0,0,0,0,7,100%
Sweden,F,118.95,N,x,R1,3rd,x,R2,R2,x,x,2,0,0,1,0,0,3,38%
South Korea,F,84.53,N,R1,R1,R1,R1,4th,R1,R2,R1,1,0,1,0,0,0,2,25%
England,G,874,Y,QF,4th,x,R2,QF,QF,R2,R1,2,3,1,0,0,0,6,75%
Belgium,G,756,Y,4th,R2,R2,R1,R2,x,x,QF,3,1,1,0,0,0,5,63%
Panama,G,9.13,N,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0%
Tunisia,G,58.13,N,x,x,x,R1,R1,R1,x,x,0,0,0,0,0,0,0,0%
Colombia,H,256.35,Y,x,R2,R1,R1,x,x,x,QF,1,1,0,0,0,0,2,25%
Japan,H,73.4,Y,x,x,x,R1,R2,R1,R2,R1,2,0,0,0,0,0,2,25%
Senegal,H,290.2,N,x,,x,x,QF,x,x,x,0,1,0,0,0,0,1,14%
Poland,H,259.35,N,R2,x,x,x,R1,R1,x,x,1,0,0,0,0,0,1,13%

